1956,39031,437000,0924-00-01
1220,72643,405400,0924-00-00
1110,108225,444000,0924-00-00
1688,135564,248600,0924-00-00
1912,135740,983000,0924-00-00
2272,136006,414000,0924-00-01
2214,137546,599000,0924-00-01
1249,1000115,116000,0924-00-01
1592,36498,213100,0924-00-00
1498,38996,79800,0924-00-01
1618,36319,191800,0924-00-00
2093,37018,544000,0924-00-01
1246,55306,140000,0924-00-00
2310,59397,259200,0924-00-01
1588,73020,78000,0924-00-00
2671,73645,111200,0924-00-01
1006,73651,282400,0924-00-00
3114,94154,367999,0924-00-00
4070,94732,262000,0924-00-00
1080,97072,30000,0924-00-00
1650,97430,990000,0924-00-00
3154,97869,944200,0924-00-02
2286,108743,951000,0924-00-01
1188,137690,990400,0924-00-00
1119,137782,995200,0924-00-00
2196,137929,74000,0924-00-02
1723,147379,945600,0924-00-00
1159,154292,606400,0924-00-00
1244,154628,92300,0924-00-01
2653,210890,644100,0924-00-01
1540,1214091,92000,0924-00-01
2194,1214122,808200,0924-00-01
966,1214452,859200,0924-00-00
2398,135824,220000,0924-00-01
1128,1000127,24000,0924-00-01
1790,38966,920000,0924-00-00
1780,39125,57500,0924-00-01
1253,54993,213800,0924-00-00
5704,55272,794000,0924-00-01
697,74305,143800,0924-00-00
2034,74382,860800,0924-00-00
2059,112366,892000,0924-00-00
2268,129625,8000,0924-00-01
2903,212602,258200,0924-00-02
1236,1213642,618000,0924-00-00
1510,73567,442000,0924-00-00
1948,107166,942000,0924-00-00
5047,83785,39624,0924-00-00
1833,211931,544500,0924-00-00
2291,53750,495955,0924-00-01
1363,74897,942000,0924-00-00
1360,95193,137500,0924-00-00
1892,97800,377000,0924-00-01
1800,106937,800000,0924-00-00
2596,55118,364000,0924-00-00
1431,135535,155000,0924-00-00
1075,135754,250000,0924-00-00
3769,135764,870200,0924-00-00
1408,154339,891000,0924-00-00
2138,1213727,424800,0924-00-01
1957,135850,84800,0924-00-01
5782,137857,462000,0924-00-05
1548,29727,100000,0924-00-00
2173,38570,345700,0924-00-01
3927,59669,94000,0924-00-03
2458,59774,764000,0924-00-01
1544,97682,164000,0924-00-01
1254,97950,118000,0924-00-01
1142,105854,56000,0924-00-00
2046,108040,709000,0924-00-00
1175,108456,459600,0924-00-00
1753,128365,97200,0924-00-00
1156,129399,218000,0924-00-00
766,137433,340000,0924-00-00
1620,137530,162000,0924-00-01
625,137617,352500,0924-00-00
1964,137642,692000,0924-00-01
2020,137830,595000,0924-00-01
2020,137841,595000,0924-00-01
2798,144924,330000,0924-00-00
2064,145083,669900,0924-00-00
1036,147295,231600,0924-00-00
1878,147700,373000,0924-00-01
1372,151612,363000,0924-00-00
1300,151925,775000,0924-00-00
1624,152207,576000,0924-00-00
